,Age,Is_Student,Has_Coupon,Income,Visit_Frequency,Buys_Burger
0,54,0,0,16.84,1,0
1,44,0,0,56.75,4,0
2,30,0,1,22.67,7,1
3,58,0,0,63.55,7,0
4,23,1,1,23.13,2,1
5,36,0,1,59.23,6,1
6,54,0,1,39.57,2,0
7,34,0,1,14.25,5,1
8,38,0,1,24.36,5,1
9,26,0,0,59.9,2,0
10,26,0,0,46.73,6,1
11,39,0,1,38.82,2,0
12,51,0,1,6.75,7,1
13,55,0,0,60.84,9,0
14,39,0,0,68.06,3,0
15,18,1,1,65.32,0,0
16,37,0,0,30.77,3,0
17,17,1,1,45.74,6,1
18,39,0,0,47.38,3,0
19,59,0,1,17.09,5,1
20,45,0,0,42.71,8,0
21,53,0,1,56.07,0,0
22,17,1,0,51.47,4,0
23,36,0,0,23.33,6,0
24,48,0,1,27.06,0,0
25,27,0,0,51.86,3,0
26,37,0,1,49.49,5,1
27,59,0,0,6.19,1,0
28,40,0,1,3.15,9,1
29,42,0,0,38.85,4,0
30,57,0,1,31.16,9,1
31,43,0,0,35.53,0,0
32,31,0,1,33.83,5,1
33,30,0,0,54.76,5,0
34,59,0,1,41.55,3,1
35,18,1,1,44.01,7,1
36,52,0,1,19.87,3,1
37,22,1,0,-10.46,7,1
38,36,0,1,56.85,7,1
39,24,1,0,72.15,4,0
40,54,0,1,34.86,3,1
41,33,0,0,43.74,1,0
42,19,1,1,44.87,2,1
43,40,0,0,65.13,2,0
44,29,0,0,53.33,3,0
45,24,1,1,47.44,3,1
46,41,0,0,40.83,9,0
47,17,1,0,40.9,4,1
48,35,0,1,18.41,3,1
49,43,0,0,34.25,9,0
50,22,1,0,53.29,7,1
51,59,0,0,36.49,5,0
52,23,1,1,40.67,5,1
53,50,0,0,22.36,7,0
54,29,0,1,46.68,6,1
55,32,0,0,18.07,9,0
56,51,0,0,44.35,9,0
57,55,0,0,37.19,7,0
58,19,1,1,13.85,1,1
59,17,1,0,56.04,8,1
60,21,1,0,37.54,0,1
61,57,0,1,67.91,7,1
62,19,1,0,62.17,3,0
63,44,0,1,26.81,3,1
64,33,0,1,28.12,4,1
65,41,0,0,22.42,7,0
66,59,0,1,16.2,4,1
67,49,0,0,33.67,7,0
68,25,0,1,61.66,9,1
69,51,0,1,11.28,0,0
70,29,0,0,52.78,9,1
71,46,0,1,51.53,8,1
72,30,0,1,48.32,5,1
73,23,1,1,51.0,2,0
74,29,0,1,23.44,7,1
75,38,0,1,51.42,8,1
76,55,0,0,31.76,5,0
77,36,0,1,3.11,6,1
78,31,0,0,40.86,0,0
79,33,0,1,27.34,4,1
80,39,0,0,60.38,4,0
81,41,0,0,35.7,9,0
82,40,0,1,40.68,3,1
83,56,0,1,45.84,5,1
84,44,0,1,35.99,6,1
85,30,0,0,38.44,8,0
86,16,1,1,52.65,0,0
87,40,0,0,24.01,5,0
88,22,1,0,29.47,6,1
89,24,1,0,25.49,2,1
90,39,0,1,61.55,7,1
91,16,1,1,29.47,4,1
92,59,0,0,37.85,8,0
93,23,1,0,30.99,4,1
94,39,0,1,35.38,8,1
95,26,0,0,28.94,9,1
96,32,0,1,46.94,3,1
97,23,1,0,24.39,8,1
98,50,0,1,19.71,4,1
99,50,0,0,31.62,9,0
100,48,0,1,28.03,8,1
101,20,1,0,19.93,2,1
102,57,0,1,35.15,3,1
103,54,0,1,15.1,8,1
104,56,0,0,65.92,9,0
105,43,0,0,17.61,5,0
106,22,1,1,30.31,1,1
107,24,1,0,33.95,6,1
108,23,1,1,65.27,1,0
109,27,0,0,14.05,1,0
110,49,0,1,42.13,0,0
111,48,0,1,55.56,2,0
112,38,0,1,35.35,5,1
113,39,0,1,22.45,7,1
114,52,0,1,38.38,8,1
115,50,0,1,62.91,6,1
116,59,0,0,30.76,3,0
117,55,0,0,61.54,5,0
118,37,0,0,43.88,4,0
119,42,0,1,58.49,7,1
120,50,0,1,43.28,0,0
121,16,1,1,32.73,0,1
122,50,0,1,64.58,5,1
123,52,0,0,43.38,9,0
124,29,0,0,42.5,1,0
125,18,1,1,52.11,4,1
126,16,1,0,53.86,0,0
127,20,1,0,52.19,6,1
128,41,0,1,19.74,0,0
129,29,0,0,30.44,3,0
130,54,0,1,30.15,8,1
131,42,0,0,28.31,0,0
132,24,1,1,26.92,3,1
133,30,0,1,29.93,5,1
134,30,0,1,45.04,5,1
135,41,0,1,47.42,7,1
136,57,0,0,39.98,0,0
137,28,0,1,33.61,6,1
138,47,0,1,59.13,0,0
139,54,0,1,38.63,6,1
140,47,0,0,54.06,2,0
141,19,1,1,31.46,7,1
142,45,0,0,46.21,2,0
143,52,0,1,60.13,0,0
144,38,0,0,0.87,7,0
145,54,0,0,30.17,2,0
146,30,0,1,48.91,1,0
147,58,0,0,58.19,0,0
148,44,0,1,43.05,2,0
149,51,0,1,40.74,1,0
150,28,0,1,64.16,1,0
151,47,0,0,59.11,5,0
152,22,1,0,26.97,0,1
153,37,0,1,41.75,1,0
154,43,0,1,45.4,5,1
155,17,1,0,65.78,2,0
156,57,0,1,52.99,3,1
157,21,1,1,38.45,0,1
158,43,0,1,43.3,7,1
159,43,0,0,11.74,6,0
160,59,0,0,54.53,6,0
161,59,0,0,49.69,2,0
162,35,0,1,58.18,9,1
163,45,0,1,37.84,9,1
164,26,0,1,41.92,2,0
165,43,0,0,32.78,1,0
166,40,0,1,22.78,0,0
167,54,0,1,30.97,6,1
168,48,0,1,12.71,6,1
169,16,1,1,53.72,1,0
170,42,0,0,7.38,6,0
171,28,0,0,70.48,7,1
172,56,0,1,13.54,0,0
173,18,1,0,62.5,8,1
174,54,0,0,26.38,6,0
175,21,1,1,48.42,2,1
176,23,1,1,28.71,7,1
177,42,0,0,65.11,6,0
178,24,1,1,40.66,7,1
179,52,0,0,56.11,5,0
180,48,0,1,41.14,8,1
181,57,0,0,45.29,4,0
182,59,0,1,49.24,2,0
183,39,0,0,32.07,2,0
184,30,0,0,20.8,0,0
185,47,0,0,20.48,7,0
186,47,0,1,40.76,1,0
187,39,0,0,32.67,2,0
188,56,0,0,7.81,7,0
189,27,0,1,47.69,7,1
190,54,0,1,21.72,3,1
191,17,1,0,22.6,3,1
192,18,1,0,39.38,4,1
193,52,0,1,26.5,5,1
194,32,0,1,41.84,4,1
195,17,1,1,69.6,6,1
196,17,1,1,34.31,1,1
197,43,0,1,24.11,6,1
198,38,0,0,42.72,9,0
199,52,0,1,28.37,6,1
200,47,0,0,40.36,0,0
201,48,0,0,44.73,6,0
202,16,1,0,39.47,4,1
203,34,0,1,40.85,2,0
204,17,1,0,42.88,2,1
205,59,0,0,63.96,3,0
206,41,0,1,36.21,1,0
207,47,0,0,41.91,1,0
208,21,1,0,53.0,0,0
209,47,0,1,47.07,4,1
210,19,1,0,34.63,3,1
211,26,0,0,53.53,9,1
212,32,0,0,26.93,1,0
213,53,0,1,36.6,2,0
214,39,0,1,28.43,6,1
215,20,1,1,48.64,6,1
216,49,0,0,57.84,3,0
217,21,1,0,43.35,4,1
218,37,0,1,41.13,4,1
219,26,0,0,26.87,5,1
220,31,0,0,29.46,8,0
221,48,0,1,22.1,1,0
222,24,1,1,7.35,4,1
223,21,1,0,34.13,2,1
224,31,0,0,35.53,3,0
225,44,0,0,72.59,9,0
226,18,1,1,63.44,5,1
227,35,0,1,48.33,7,1
228,51,0,1,71.27,0,0
229,34,0,1,60.86,9,1
230,41,0,0,9.89,7,0
231,18,1,1,56.01,6,1
232,34,0,1,50.67,0,0
233,35,0,1,35.66,1,0
234,47,0,1,18.77,2,0
235,22,1,1,48.93,0,1
236,56,0,0,8.81,8,0
237,48,0,0,39.68,7,0
238,55,0,1,30.74,1,0
239,54,0,0,21.12,8,0
240,33,0,1,57.83,6,1
241,55,0,1,39.38,8,1
242,16,1,0,42.61,5,1
243,26,0,0,53.62,5,1
244,43,0,1,39.87,3,1
245,40,0,1,46.77,9,1
246,38,0,1,52.24,9,1
247,46,0,0,48.5,1,0
248,45,0,1,44.29,6,1
249,57,0,1,66.75,4,1
250,50,0,1,58.63,5,1
251,22,1,0,38.71,1,1
252,31,0,1,26.35,4,1
253,41,0,1,49.58,9,1
254,17,1,0,43.24,3,1
255,16,1,1,65.63,8,1
256,27,0,1,54.81,5,1
257,20,1,0,51.46,1,0
258,52,0,1,40.19,0,0
259,47,0,0,26.86,4,0
260,24,1,0,37.03,8,1
261,56,0,1,47.15,5,1
262,50,0,1,14.06,9,1
263,34,0,1,58.63,6,1
264,31,0,1,71.01,4,1
265,18,1,0,10.83,9,1
266,35,0,1,19.0,5,1
267,39,0,0,43.44,4,0
268,48,0,1,31.26,8,1
269,39,0,1,43.91,5,1
270,26,0,1,38.92,7,1
271,23,1,0,24.64,1,1
272,51,0,1,59.33,8,1
273,53,0,1,46.97,4,1
274,55,0,1,31.6,6,1
275,35,0,1,62.58,9,1
276,50,0,0,32.37,0,0
277,40,0,1,21.37,9,1
278,50,0,0,42.75,4,0
279,40,0,0,45.3,9,0
280,44,0,0,47.98,1,0
281,33,0,0,50.45,5,0
282,33,0,0,47.74,0,0
283,17,1,0,47.13,2,1
284,50,0,1,31.39,4,1
285,31,0,0,29.79,3,0
286,56,0,0,51.14,2,0
287,51,0,0,43.65,9,0
288,48,0,1,52.3,4,1
289,19,1,1,14.39,7,1
290,48,0,0,32.49,3,0
291,29,0,1,68.61,0,0
292,36,0,0,48.29,6,0
293,35,0,0,44.43,7,0
294,23,1,1,50.62,2,0
295,22,1,0,73.13,5,1
296,18,1,1,69.97,1,0
297,32,0,1,16.31,6,1
298,48,0,0,21.84,7,0
299,27,0,0,15.8,5,1
